Borough name,Ward Code,Ward name,,,happiness_coefficient_year_minus_3,happiness_coefficient_year_minus_2,happiness_coefficient_year_minus_1,happiness_coefficient_now,happiness_coefficient_2012
Lewisham,E05000452,Sydenham,,,-4,-5,-5,-5,-6
Lewisham,E05000453,Telegraph Hill,,,-4,-5,-6,-5,-2
Lewisham,E05000454,Whitefoot,,,-5,-7,-8,-7,-5
Merton,E05000455,Abbey,,,5,6,3,4,5
Merton,E05000456,Cannon Hill,,,8,8,9,6,6
Merton,E05000457,Colliers Wood,,,2,1,1,2,2
Merton,E05000458,Cricket Green,,,-4,-5,-4,-3,-3
Merton,E05000459,Dundonald,,,12,12,12,13,11
Merton,E05000460,Figge's Marsh,,,-3,-1,-2,-3,-5
Merton,E05000461,Graveney,,,2,3,3,2,2
Merton,E05000462,Hillside,,,12,8,10,9,10
Merton,E05000463,Lavender Fields,,,-2,-3,-2,-4,-1
Merton,E05000464,Longthornton,,,0,0,0,1,1
Merton,E05000465,Lower Morden,,,6,6,6,5,4
Merton,E05000466,Merton Park,,,12,11,10,12,10
Merton,E05000467,Pollards Hill,,,-1,-1,-1,-3,-3
Merton,E05000468,Ravensbury,,,-3,-3,-2,-3,-2
Merton,E05000469,Raynes Park,,,8,9,8,7,8
Merton,E05000470,St Helier,,,0,0,-1,0,0
Merton,E05000471,Trinity,,,7,5,3,5,4
Merton,E05000472,Village,,,9,11,11,7,10
Merton,E05000473,West Barnes,,,8,8,7,6,6
Merton,E05000474,Wimbledon Park,,,9,10,9,9,10
Newham,E05000475,Beckton,,,-9,-8,-9,-7,-5
Newham,E05000476,Boleyn,,,-4,-4,-5,-6,-5
Newham,E05000477,Canning Town North,,,-13,-13,-12,-11,-10
Newham,E05000478,Canning Town South,,,-9,-10,-10,-9,-7
Newham,E05000479,Custom House,,,-13,-10,-12,-10,-9
Newham,E05000480,East Ham Central,,,-3,-3,-5,-5,-4
Newham,E05000481,East Ham North,,,-3,-2,-3,-1,-3
Newham,E05000482,East Ham South,,,-7,-7,-8,-7,-6
Newham,E05000483,Forest Gate North,,,-7,-7,-6,-6,-4
Newham,E05000484,Forest Gate South,,,-5,-6,-6,-7,-9
Newham,E05000485,Green Street East,,,-2,-2,-2,-2,-2
Newham,E05000486,Green Street West,,,-4,-4,-5,-5,-2
Newham,E05000487,Little Ilford,,,-5,-5,-4,-4,-4
Newham,E05000488,Manor Park,,,-4,-4,-4,-4,-4
Newham,E05000489,Plaistow North,,,-6,-7,-7,-7,-4
Newham,E05000490,Plaistow South,,,-4,-4,-4,-5,-3
Newham,E05000491,Royal Docks,,,-5,-5,-6,-4,-2
Newham,E05000492,Stratford and New Town,,,-6,-5,-5,-6,-6
Newham,E05000493,Wall End,,,-1,-2,-2,-3,-3
Newham,E05000494,West Ham,,,-5,-5,-4,-3,-5
Redbridge,E05000495,Aldborough,,,0,1,0,2,2
Redbridge,E05000496,Barkingside,,,5,4,4,5,5
Redbridge,E05000497,Bridge,,,1,0,0,1,4
Redbridge,E05000498,Chadwell,,,-1,-1,-1,-1,-3
Redbridge,E05000499,Church End,,,6,5,5,5,4
Redbridge,E05000500,Clayhall,,,7,6,6,7,6
Redbridge,E05000501,Clementswood,,,-6,-6,-5,-6,-6
Redbridge,E05000502,Cranbrook,,,3,4,2,2,3
Redbridge,E05000503,Fairlop,,,1,0,0,0,1
Redbridge,E05000504,Fullwell,,,-2,-4,-4,-2,1
Redbridge,E05000505,Goodmayes,,,-4,-3,-4,-4,-4
Redbridge,E05000506,Hainault,,,-3,-4,-7,-5,-5
Redbridge,E05000507,Loxford,,,-5,-5,-6,-6,-6
Redbridge,E05000508,Mayfield,,,0,-1,-2,-1,-1
Redbridge,E05000509,Monkhams,,,9,8,8,8,9
Redbridge,E05000510,Newbury,,,0,1,1,2,3
Redbridge,E05000511,Roding,,,3,2,2,2,2
Redbridge,E05000512,Seven Kings,,,-1,-1,-1,-1,-2
Redbridge,E05000513,Snaresbrook,,,4,6,4,4,5
Redbridge,E05000514,Valentines,,,-3,-2,-2,-1,-3
Redbridge,E05000515,Wanstead,,,4,5,4,5,4
Richmond upon Thames,E05000516,Barnes,,,9,7,7,6,6
Richmond upon Thames,E05000517,East Sheen,,,13,13,12,13,11
Richmond upon Thames,E05000518,Fulwell and Hampton Hill,,,9,9,10,9,8
Richmond upon Thames,E05000519,"Ham, Petersham and Richmond Riverside",,,4,3,2,4,5
Richmond upon Thames,E05000520,Hampton,,,9,10,9,7,8
Richmond upon Thames,E05000521,Hampton North,,,1,2,1,2,0
Richmond upon Thames,E05000522,Hampton Wick,,,10,9,8,10,9
Richmond upon Thames,E05000523,Heathfield,,,4,2,1,0,1
Richmond upon Thames,E05000524,Kew,,,12,13,10,10,9
Richmond upon Thames,E05000525,Mortlake and Barnes Common,,,8,9,8,8,7
Richmond upon Thames,E05000526,North Richmond,,,10,10,8,8,8
Richmond upon Thames,E05000527,St Margarets and North Twickenham,,,10,10,9,8,10
Richmond upon Thames,E05000528,South Richmond,,,10,8,9,9,7
Richmond upon Thames,E05000529,South Twickenham,,,12,12,12,12,12
Richmond upon Thames,E05000530,Teddington,,,12,13,12,12,11
Richmond upon Thames,E05000531,Twickenham Riverside,,,10,10,10,12,10
Richmond upon Thames,E05000532,West Twickenham,,,7,7,7,6,8
Richmond upon Thames,E05000533,Whitton,,,6,6,5,4,5
Southwark,E05000534,Brunswick Park,,,-6,-6,-6,-6,-7
Southwark,E05000535,Camberwell Green,,,-7,-8,-7,-8,-7
Southwark,E05000536,Cathedrals,,,-3,-4,-4,-3,-3
Southwark,E05000537,Chaucer,,,-2,1,-2,-1,-3
Southwark,E05000538,College,,,-1,-1,-2,-2,-2
Southwark,E05000539,East Dulwich,,,1,3,1,2,1
Southwark,E05000540,East Walworth,,,-8,-9,-11,-11,-9
Southwark,E05000541,Faraday,,,-7,-7,-9,-5,-8
Southwark,E05000542,Grange,,,-6,-7,-5,-6,-6
Southwark,E05000543,Livesey,,,-11,-13,-11,-10,-9
Southwark,E05000544,Newington,,,-5,-5,-6,-5,-5
Southwark,E05000545,Nunhead,,,-8,-10,-8,-7,-9
Southwark,E05000546,Peckham,,,-10,-10,-9,-9,-9
Southwark,E05000547,Peckham Rye,,,0,1,0,-1,0
Southwark,E05000548,Riverside,,,-2,-2,-4,-3,-2
Southwark,E05000549,Rotherhithe,,,-5,-4,-5,-4,-4
Southwark,E05000550,South Bermondsey,,,-7,-7,-7,-7,-6
Southwark,E05000551,South Camberwell,,,-4,-2,-3,-2,-1
Southwark,E05000552,Surrey Docks,,,-2,-1,-5,-3,-2
Southwark,E05000553,The Lane,,,-8,-6,-6,-6,-5
Southwark,E05000554,Village,,,8,7,8,8,9
Sutton,E05000555,Beddington North,,,5,6,5,6,4
Sutton,E05000556,Beddington South,,,-3,-2,-4,-4,-3
Sutton,E05000557,Belmont,,,6,6,7,6,3
Sutton,E05000558,Carshalton Central,,,7,6,6,6,6
Sutton,E05000559,Carshalton South and Clockhouse,,,8,8,7,8,7
Sutton,E05000560,Cheam,,,10,9,8,7,8
Sutton,E05000561,Nonsuch,,,10,10,9,9,9
Sutton,E05000562,St Helier,,,-3,-4,-4,-3,-3
Sutton,E05000563,Stonecot,,,6,7,7,7,6
Sutton,E05000564,Sutton Central,,,-2,-4,-2,-2,-2
Sutton,E05000565,Sutton North,,,4,3,3,4,4
Sutton,E05000566,Sutton South,,,2,2,3,3,1
Sutton,E05000567,Sutton West,,,8,8,7,8,7
Sutton,E05000568,The Wrythe,,,0,0,0,-2,1
Sutton,E05000569,Wallington North,,,5,4,5,6,3
Sutton,E05000570,Wallington South,,,3,3,3,3,2
Sutton,E05000571,Wandle Valley,,,-2,-3,-2,-3,-5
Sutton,E05000572,Worcester Park,,,8,7,7,7,7
Tower Hamlets,E05000573,Bethnal Green North,,,-6,-7,-6,-6,-7
Tower Hamlets,E05000574,Bethnal Green South,,,-7,-7,-8,-6,-6
Tower Hamlets,E05000575,Blackwall and Cubitt Town,,,-2,-2,-4,-1,1
Tower Hamlets,E05000576,Bow East,,,-10,-11,-11,-8,-9
Tower Hamlets,E05000577,Bow West,,,-5,-5,-6,-6,-6
Tower Hamlets,E05000578,Bromley-by-Bow,,,-8,-9,-10,-9,-7
Tower Hamlets,E05000579,East India and Lansbury,,,-13,-17,-13,-15,-11
Tower Hamlets,E05000580,Limehouse,,,-5,-6,-7,-8,-6
Tower Hamlets,E05000581,Mile End and Globe Town,,,-4,-4,-3,-2,-3
Tower Hamlets,E05000582,Mile End East,,,-11,-10,-9,-12,-9
Tower Hamlets,E05000583,Millwall,,,1,2,1,0,4
Tower Hamlets,E05000584,St Dunstan's and Stepney Green,,,-9,-8,-8,-6,-5
Tower Hamlets,E05000585,St Katharine's and Wapping,,,1,0,0,-1,4
Tower Hamlets,E05000586,Shadwell,,,-5,-5,-5,-6,-4
Tower Hamlets,E05000587,Spitalfields and Banglatown,,,-10,-10,-7,-6,-3
Tower Hamlets,E05000588,Weavers,,,-7,-6,-8,-7,-5
Tower Hamlets,E05000589,Whitechapel,,,-5,-4,-4,-6,-4
Waltham Forest,E05000590,Cann Hall,,,-7,-7,-8,-5,-5
Waltham Forest,E05000591,Cathall,,,-7,-7,-6,-5,-5
Waltham Forest,E05000592,Chapel End,,,0,0,-1,0,0
Waltham Forest,E05000593,Chingford Green,,,3,3,2,3,2
Waltham Forest,E05000594,Endlebury,,,1,1,1,1,2
Waltham Forest,E05000595,Forest,,,-1,-1,-2,-2,0
Waltham Forest,E05000596,Grove Green,,,-3,-2,0,-1,0
Waltham Forest,E05000597,Hale End and Highams Park,,,3,2,3,2,2
Waltham Forest,E05000598,Hatch Lane,,,-2,-3,-3,-3,-2
Waltham Forest,E05000599,High Street,,,-4,-3,-4,-4,-2
Waltham Forest,E05000600,Higham Hill,,,-3,-3,-4,-5,-4
Waltham Forest,E05000601,Hoe Street,,,-4,-6,-5,-5,-6
Waltham Forest,E05000602,Larkswood,,,-1,-1,-1,-2,-2
Waltham Forest,E05000603,Lea Bridge,,,-3,-5,-6,-4,-4
Waltham Forest,E05000604,Leyton,,,-7,-7,-7,-8,-5
Waltham Forest,E05000605,Leytonstone,,,-3,-2,-3,-1,0
Waltham Forest,E05000606,Markhouse,,,-2,-3,-4,-3,-3
Waltham Forest,E05000607,Valley,,,-4,-4,-4,-5,-5
Waltham Forest,E05000608,William Morris,,,-4,-4,-3,-5,-2
Waltham Forest,E05000609,Wood Street,,,-2,-3,-3,-3,-3
Wandsworth,E05000610,Balham,,,6,6,5,5,5
Wandsworth,E05000611,Bedford,,,3,3,2,1,2
Wandsworth,E05000612,Earlsfield,,,2,2,2,2,2
Wandsworth,E05000613,East Putney,,,4,5,5,6,6
Wandsworth,E05000614,Fairfield,,,4,4,3,1,3
Wandsworth,E05000615,Furzedown,,,0,1,1,0,1
Wandsworth,E05000616,Graveney,,,-2,-2,-3,-2,-1
Wandsworth,E05000617,Latchmere,,,-6,-6,-7,-6,-5
Wandsworth,E05000618,Nightingale,,,5,3,3,3,2
Wandsworth,E05000619,Northcote,,,6,5,5,6,6
Wandsworth,E05000620,Queenstown,,,-3,-2,-5,-2,-2
Wandsworth,E05000621,Roehampton,,,-5,-5,-5,-6,-2
Wandsworth,E05000622,St Mary's Park,,,0,1,0,-2,-1
Wandsworth,E05000623,Shaftesbury,,,-1,2,-1,0,-1
Wandsworth,E05000624,Southfields,,,6,4,5,6,6
Wandsworth,E05000625,Thamesfield,,,12,10,12,10,11
Wandsworth,E05000626,Tooting,,,0,1,0,0,2
Wandsworth,E05000627,Wandsworth Common,,,5,5,4,5,3
Wandsworth,E05000628,West Hill,,,0,1,1,1,3
Wandsworth,E05000629,West Putney,,,0,-2,-1,-1,0
Westminster,E05000630,Abbey Road,,,8,7,8,8,8
Westminster,E05000631,Bayswater,,,5,5,4,0,4
Westminster,E05000632,Bryanston and Dorset Square,,,7,7,4,4,4
Westminster,E05000633,Churchill,,,-1,0,-1,-4,-4
Westminster,E05000634,Church Street,,,-7,-7,-8,-7,-6
Westminster,E05000635,Harrow Road,,,-5,-6,-7,-6,-4
Westminster,E05000636,Hyde Park,,,8,5,4,5,5
Westminster,E05000637,Knightsbridge and Belgravia,,,14,15,14,13,17
Westminster,E05000638,Lancaster Gate,,,3,2,3,1,5
Westminster,E05000639,Little Venice,,,1,3,1,1,2
Westminster,E05000640,Maida Vale,,,2,-2,-1,-1,3
Westminster,E05000641,Marylebone High Street,,,9,9,9,10,8
Westminster,E05000642,Queen's Park,,,-11,-10,-10,-10,-5
Westminster,E05000643,Regent's Park,,,8,7,5,5,8
Westminster,E05000644,St James's,,,4,4,5,2,6
Westminster,E05000645,Tachbrook,,,7,8,4,4,5
Westminster,E05000646,Vincent Square,,,5,6,3,4,6
Westminster,E05000647,Warwick,,,5,8,6,5,6
Westminster,E05000648,Westbourne,,,-6,-6,-7,-6,-5
Westminster,E05000649,West End,,,5,6,2,6,5
London,E12000007,LONDON,,,-1,-1,-1,-1,-1
,,,,,,,,,
Barking and Dagenham,E09000002,BARKING AND DAGENHAM,,,-6,-6,-7,-7,-7
Barnet,E09000003,BARNET,,,2,2,1,2,2
Bexley,E09000004,BEXLEY,,,2,2,2,2,2
Brent,E09000005,BRENT,,,-2,-2,-3,-3,-3
Bromley,E09000006,BROMLEY,,,4,4,3,4,4
Camden,E09000007,CAMDEN,,,-1,0,-1,0,1
Croydon,E09000008,CROYDON,,,-2,-2,-2,-2,-2
Ealing,E09000009,EALING,,,1,1,0,0,1
Enfield,E09000010,ENFIELD,,,-2,-3,-3,-4,-5
Greenwich,E09000011,GREENWICH,,,-5,-5,-5,-4,-3
Hackney,E09000012,HACKNEY,,,-5,-5,-6,-6,-5
Hammersmith and Fulham,E09000013,HAMMERSMITH AND FULHAM,,,-1,-1,-2,-2,-1
Haringey,E09000014,HARINGEY,,,-5,-5,-5,-4,-4
Harrow,E09000015,HARROW,,,3,3,3,3,2
Havering,E09000016,HAVERING,,,2,2,1,1,0
Hillingdon,E09000017,HILLINGDON,,,0,0,0,0,-1
Hounslow,E09000018,HOUNSLOW,,,-2,-2,-1,-1,-1
Islington,E09000019,ISLINGTON,,,-5,-5,-5,-5,-4
Kensington and Chelsea,E09000020,KENSINGTON AND CHELSEA,,,5,5,4,4,5
Kingston upon Thames,E09000021,KINGSTON UPON THAMES,,,5,5,5,5,5
Lambeth,E09000022,LAMBETH,,,-4,-4,-4,-4,-3
Lewisham,E09000023,LEWISHAM,,,-5,-6,-6,-5,-4
Merton,E09000024,MERTON,,,3,3,3,3,3
Newham,E09000025,NEWHAM,,,-6,-6,-6,-6,-6
Redbridge,E09000026,REDBRIDGE,,,1,0,0,0,1
Richmond upon Thames,E09000027,RICHMOND UPON THAMES,,,8,8,8,8,7
Southwark,E09000028,SOUTHWARK,,,-4,-4,-4,-4,-4
Sutton,E09000029,SUTTON,,,4,4,4,3,3
Tower Hamlets,E09000030,TOWER HAMLETS,,,-5,-6,-5,-5,-4
Waltham Forest,E09000031,WALTHAM FOREST,,,-3,-3,-3,-3,-2
Wandsworth,E09000032,WANDSWORTH,,,1,1,1,1,2
Westminster,E09000033,WESTMINSTER,,,3,3,2,2,3
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
